CHR_A	window_start_bp	window_end_bp	average_R2
11	1	10000	0.0137375033333333
11	30001	40000	0.01066295123625
11	40001	50000	0.0116524852857143
11	50001	60000	0.01318948289375
11	60001	70000	0.012676283125
11	70001	80000	0.0115837985666667
11	80001	90000	0.0086642618
11	90001	1e+05	0.00802545615
11	120001	130000	0.00913625714285714
11	140001	150000	0.00620423942857143
11	150001	160000	0.00907071927142857
11	160001	170000	0.0185895976206897
11	170001	180000	0.00577114603333333
11	190001	2e+05	0.0105249601276667
11	200001	210000	0.011683147875
11	220001	230000	0.0227469395625
11	230001	240000	0.0189279953055263
11	240001	250000	0.0133994311058462
11	250001	260000	0.0136867070231105
11	260001	270000	0.0192300850935504
11	270001	280000	0.0104959008930958
11	280001	290000	0.0127981675779803
11	290001	3e+05	0.0149669420168231
11	300001	310000	0.0162637408401786
11	310001	320000	0.0104904266931449
11	320001	330000	0.0131340674143567
11	330001	340000	0.0140343812584794
11	340001	350000	0.014169282508502
11	350001	360000	0.0125913280673203
11	360001	370000	0.0135765700706939
11	370001	380000	0.0148755637009587
11	380001	390000	0.0141050394094013
11	390001	4e+05	0.0136302530647827
11	400001	410000	0.0125039314891284
11	410001	420000	0.0140920560583692
11	420001	430000	0.0142399856726178
11	430001	440000	0.0142199714041777
11	440001	450000	0.0159477585512563
11	450001	460000	0.0122289211531065
11	460001	470000	0.0152258980576555
11	470001	480000	0.0160355001139037
11	480001	490000	0.0129323532950497
11	490001	5e+05	0.0119351412909266
11	500001	510000	0.0159212041634377
11	510001	520000	0.0156291499466467
11	520001	530000	0.0116738135478386
11	530001	540000	0.013301153082436
11	540001	550000	0.0141443339053725
11	550001	560000	0.0132447529122734
11	560001	570000	0.0110426809445276
11	570001	580000	0.0124029237997788
11	580001	590000	0.0111120173563719
11	590001	6e+05	0.010892045023913
11	600001	610000	0.0109247573003008
11	610001	620000	0.016654815115
11	620001	630000	0.0134535887860331
11	630001	640000	0.0103139530339834
11	640001	650000	0.0120596637812886
11	650001	660000	0.0119375224650604
11	660001	670000	0.0154959376982
11	670001	680000	0.0171225531531031
11	680001	690000	0.0142861420011938
11	690001	7e+05	0.0130392198938181
11	700001	710000	0.0202366473755738
11	710001	720000	0.0115776202655235
11	720001	730000	0.0113011617383908
11	730001	740000	0.0144159517820047
11	740001	750000	0.0126467259808427
11	750001	760000	0.0173955667238696
11	760001	770000	0.0137205008607143
11	770001	780000	0.0133979866688085
11	780001	790000	0.0125890778456021
11	790001	8e+05	0.0145546482914316
11	800001	810000	0.0139317015589756
11	810001	820000	0.0136676163502248
11	820001	830000	0.014157628739895
11	830001	840000	0.0133195207707086
11	840001	850000	0.0125390035034692
11	850001	860000	0.0131388329218394
11	860001	870000	0.0123208326436351
11	870001	880000	0.0113817705168571
11	880001	890000	0.0135865966235096
11	890001	9e+05	0.0144021414708024
11	900001	910000	0.0128030170731083
11	910001	920000	0.0132759027889831
11	920001	930000	0.0121118928026139
11	930001	940000	0.0146868451946667
11	940001	950000	0.0137274790861253
11	950001	960000	0.0155691705462037
11	960001	970000	0.0152043214717755
11	970001	980000	0.0124329131488409
11	980001	990000	0.0140406103211132
11	990001	1e+06	0.0151795244570284
11	1000001	1010000	0.0142276410703558
11	1010001	1020000	0.0147345469757566
11	1020001	1030000	0.0134346320605392
11	1030001	1040000	0.0142235160101096
11	1040001	1050000	0.013866866766945
11	1050001	1060000	0.0145119882610378
11	1060001	1070000	0.0146461250522947
11	1070001	1080000	0.0142256683822382
11	1080001	1090000	0.015304753694605
11	1090001	1100000	0.0119593697800802
11	1100001	1110000	0.0140607379073996
11	1110001	1120000	0.0134561654564376
11	1120001	1130000	0.0135446378006522
11	1130001	1140000	0.0124641110387843
11	1140001	1150000	0.0141968476190805
11	1150001	1160000	0.0130857278008673
11	1160001	1170000	0.0163515870574702
11	1170001	1180000	0.013583168873829
11	1180001	1190000	0.0135785954847103
11	1190001	1200000	0.0154148595323313
11	1200001	1210000	0.014017297189334
11	1210001	1220000	0.0135649716555411
11	1220001	1230000	0.0122465077251374
11	1230001	1240000	0.0142679079955853
11	1240001	1250000	0.0144516851620836
11	1250001	1260000	0.0128491488463792
11	1260001	1270000	0.0147722384108135
11	1270001	1280000	0.0134684638817071
11	1280001	1290000	0.0143879117567569
11	1290001	1300000	0.0139562052228773
11	1300001	1310000	0.0143218818620887
11	1310001	1320000	0.0142090673602214
11	1320001	1330000	0.0141539168655462
11	1330001	1340000	0.0142836355426389
11	1340001	1350000	0.01495218443212
11	1350001	1360000	0.013560490573536
11	1360001	1370000	0.0144762861597486
11	1370001	1380000	0.0128743061690262
11	1380001	1390000	0.0140375173708393
11	1390001	1400000	0.0144396541349304
11	1400001	1410000	0.0132078137685197
11	1410001	1420000	0.0128179494837166
11	1420001	1430000	0.0138833020063962
11	1430001	1440000	0.0162049969551417
11	1440001	1450000	0.0145157698354581
11	1450001	1460000	0.0138006179803944
11	1460001	1470000	0.0139973026833392
11	1470001	1480000	0.0126488819871451
11	1500001	1510000	0.0135691032528643
11	1510001	1520000	0.0146755453701036
11	1520001	1530000	0.0148045091367333
11	1530001	1540000	0.0131362197635273
11	1540001	1550000	0.0126063053808915
11	1550001	1560000	0.0144461025413251
11	1560001	1570000	0.0143627724007485
11	1570001	1580000	0.01326771387272
11	1580001	1590000	0.0129627505225518
11	1590001	1600000	0.0133097696172325
11	1600001	1610000	0.0127983227689294
11	1610001	1620000	0.013525640603963
11	1620001	1630000	0.013811212115454
11	1630001	1640000	0.0121349448771309
11	1640001	1650000	0.015019620541805
11	1650001	1660000	0.0134992128600529
11	1660001	1670000	0.0145426541269768
11	1670001	1680000	0.0137588796085263
11	1680001	1690000	0.0134452007689541
11	1690001	1700000	0.0131765159827955
