CHR_A	window_start_bp	window_end_bp	average_R2
11	70001	80000	0.0164001754705882
11	90001	1e+05	0.0594221478
11	160001	170000	0.02521423725
11	170001	180000	0.0211173840005
11	190001	2e+05	0.00460361875
11	240001	250000	0.0160195888021333
11	260001	270000	0.0142023288495652
11	300001	310000	0.0160685376599738
11	310001	320000	0.0217673514244776
11	320001	330000	0.0138141784887324
11	330001	340000	0.00827360305521127
11	340001	350000	0.0133178047028723
11	360001	370000	0.0634255992236051
11	370001	380000	0.0149895914148798
11	380001	390000	0.0122404857627657
11	390001	4e+05	0.013824403030301
11	400001	410000	0.0119842209492891
11	410001	420000	0.0138480148779882
11	420001	430000	0.0168684066239601
11	430001	440000	0.0205087611188919
11	440001	450000	0.0534050365705488
11	450001	460000	0.01944513684
11	460001	470000	0.0173113489174163
11	470001	480000	0.0166456921535537
11	480001	490000	0.0140740810534667
11	490001	5e+05	0.0203931190123377
11	500001	510000	0.0173599081328276
11	510001	520000	0.0128097730105253
11	530001	540000	0.0157029604828611
11	540001	550000	0.013650633960365
11	550001	560000	0.0227644536762453
11	570001	580000	0.0190280744080537
11	580001	590000	0.0342820876814815
11	600001	610000	0.0168164283809524
11	650001	660000	0.0121846012568182
11	660001	670000	0.0138319569386294
11	670001	680000	0.0110737257176395
11	680001	690000	0.0204279406226899
11	690001	7e+05	0.0164378596349242
11	700001	710000	0.0104387419230769
11	720001	730000	0.0134149607429885
11	730001	740000	0.0209170391165686
11	740001	750000	0.0276378574905176
11	760001	770000	0.0135828102979528
11	770001	780000	0.0175965802467249
11	780001	790000	0.0147039333316444
11	800001	810000	0.0151508742738687
11	810001	820000	0.0181521382308541
11	820001	830000	0.0153855031147177
11	830001	840000	0.0246576234963601
11	840001	850000	0.017047641615625
11	850001	860000	0.006837809
11	860001	870000	0.021641148375
11	880001	890000	0.0132733998963636
11	890001	9e+05	0.0153510583686598
11	900001	910000	0.0165049774253704
11	910001	920000	0.0110845660716712
11	920001	930000	0.0150383115927586
11	930001	940000	0.013649288845043
11	940001	950000	0.0137812366232581
11	950001	960000	0.0139689501435719
11	960001	970000	0.0117249267637175
11	970001	980000	0.0144104095674454
11	980001	990000	0.0202169723209297
11	990001	1e+06	0.0249052616138322
11	1000001	1010000	0.0164726013586517
11	1010001	1020000	0.0155031572384141
11	1020001	1030000	0.0156719259319556
11	1030001	1040000	0.0200041402708978
11	1040001	1050000	0.00756209408977273
11	1050001	1060000	0.0129258165854592
11	1060001	1070000	0.0136785550615385
11	1070001	1080000	0.0164000939134483
11	1080001	1090000	0.0135092465505551
11	1090001	1100000	0.0139290646126776
11	1100001	1110000	0.0208531433215264
11	1110001	1120000	0.0215916902157971
11	1120001	1130000	0.0186441182105263
11	1130001	1140000	0.025899905
11	1150001	1160000	0.0175386721083333
11	1160001	1170000	0.0321644503278505
11	1170001	1180000	0.0196071095850719
11	1180001	1190000	0.0164387795265657
11	1190001	1200000	0.0232437360065948
11	1200001	1210000	0.0203658925461421
11	1210001	1220000	0.0169208777187683
11	1230001	1240000	0.0163410690058129
11	1240001	1250000	0.0163902604353013
11	1250001	1260000	0.0123869000829073
11	1260001	1270000	0.0180933965435753
11	1280001	1290000	0.0246757132784655
11	1290001	1300000	0.0704964434582944
11	1300001	1310000	0.0243674332618402
11	1310001	1320000	0.0149238969865909
11	1320001	1330000	0.0125690920302411
11	1330001	1340000	0.0156767177689947
11	1340001	1350000	0.0174584944273141
11	1350001	1360000	0.0158300291361055
11	1360001	1370000	0.0216857067478
11	1370001	1380000	0.0172423761610893
11	1380001	1390000	0.0296600770201309
