200000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
2	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
3	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
4	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
5	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
6	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
7	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
8	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
9	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
10	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
11	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
12	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
13	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
14	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
15	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
16	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
17	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
18	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
19	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
20	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
21	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
22	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
23	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
24	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
25	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
26	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
27	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
28	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
29	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
30	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
31	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
32	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
33	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
34	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
35	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
36	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
37	NoName	0.00000	0.00000	0.00000	0.99997	0.00000	0.00003
38	NoName	0.00000	0.00000	0.00000	0.99992	0.00000	0.00008
39	NoName	0.00000	0.00000	0.00000	0.99999	0.00001	0.00000
40	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
41	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
42	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
43	NoName	0.00000	0.00000	0.00000	0.99972	0.00000	0.00028
44	NoName	0.00000	0.00000	0.00000	0.99985	0.00001	0.00013
45	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
46	NoName	0.00000	0.00000	0.00000	0.99999	0.00000	0.00001
47	NoName	0.00000	0.00000	0.00000	0.99976	0.00000	0.00024
48	NoName	0.00000	0.00000	0.00000	0.99995	0.00000	0.00005
49	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
50	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
51	NoName	0.00000	0.00000	0.00000	0.99999	0.00000	0.00001
52	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
53	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
54	NoName	0.00000	0.00000	0.00000	0.99996	0.00004	0.00000
55	NoName	0.00000	0.00000	0.00000	0.99990	0.00010	0.00000
56	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
57	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
58	NoName	0.00000	0.00000	0.00000	0.99999	0.00001	0.00000
59	NoName	0.00000	0.00000	0.00000	0.99999	0.00001	0.00000
60	NoName	0.00000	0.00000	0.00000	0.99999	0.00001	0.00000
61	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
62	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
